GPU: NVIDIA GeForce RTX 4090
VRAM: 23.5 GB

======================================================================
Few-Shot Open Set Recognition - Episodic Training Pipeline
Backbone: yamnet
======================================================================

Loading datasets...
使用动态加载模式，不加载缓存文件 /coding/audio_classifying/unprocessed_data/TAU22_train_pro_1s.pt
索引映射构建完成，总样本数: 30000

======================================================================
Phase 0a: Contrastive Pre-training (SimCLR → SupCon)
  - First half: SimCLR (all classes, no label leakage)
  - Second half: SupCon (base classes only, discriminative)
  - yamnet last layers unfrozen for acoustic scene adaptation
======================================================================
FeatureExtractor: loaded YAMNet pretrained weights from yamnet.pth (FC layers random)

======================================================================
Phase 0a: Contrastive Pre-training
======================================================================
Samples:         30000
Epochs:          200
Batch size:      2048
Temperature:     0.1
Backbone unfreeze: ['layer7', 'layer8', 'layer9', 'layer10', 'layer11', 'layer12', 'layer13', 'layer14']
Mode:            SimCLR (ep 1-100) → SupCon (ep 101-200)
Base classes:    [0, 1, 2, 3, 4, 5]
======================================================================

Epoch 70/200 [SimCLR] | Loss: 2.4408 | LR: 2.18e-04
Epoch 71/200 [SimCLR] | Loss: 2.4229 | LR: 2.16e-04
Epoch 72/200 [SimCLR] | Loss: 2.4175 | LR: 2.14e-04
Epoch 73/200 [SimCLR] | Loss: 2.4031 | LR: 2.12e-04
Epoch 74/200 [SimCLR] | Loss: 2.3867 | LR: 2.10e-04
Epoch 75/200 [SimCLR] | Loss: 2.3689 | LR: 2.07e-04
Epoch 76/200 [SimCLR] | Loss: 2.3579 | LR: 2.05e-04
Epoch 77/200 [SimCLR] | Loss: 2.3458 | LR: 2.03e-04
Epoch 78/200 [SimCLR] | Loss: 2.3322 | LR: 2.01e-04
Epoch 79/200 [SimCLR] | Loss: 2.3153 | LR: 1.99e-04
Epoch 80/200 [SimCLR] | Loss: 2.3239 | LR: 1.96e-04
Epoch 81/200 [SimCLR] | Loss: 2.3061 | LR: 1.94e-04
Epoch 82/200 [SimCLR] | Loss: 2.3001 | LR: 1.92e-04
Epoch 83/200 [SimCLR] | Loss: 2.2856 | LR: 1.90e-04
Epoch 84/200 [SimCLR] | Loss: 2.2859 | LR: 1.87e-04
Epoch 85/200 [SimCLR] | Loss: 2.2645 | LR: 1.85e-04
Epoch 86/200 [SimCLR] | Loss: 2.2660 | LR: 1.83e-04
Epoch 87/200 [SimCLR] | Loss: 2.2551 | LR: 1.80e-04
Epoch 88/200 [SimCLR] | Loss: 2.2593 | LR: 1.78e-04
Epoch 89/200 [SimCLR] | Loss: 2.2518 | LR: 1.76e-04
Epoch 90/200 [SimCLR] | Loss: 2.2300 | LR: 1.74e-04
Epoch 91/200 [SimCLR] | Loss: 2.2273 | LR: 1.71e-04
Epoch 92/200 [SimCLR] | Loss: 2.2194 | LR: 1.69e-04
Epoch 93/200 [SimCLR] | Loss: 2.2154 | LR: 1.67e-04
Epoch 94/200 [SimCLR] | Loss: 2.2148 | LR: 1.64e-04
Epoch 95/200 [SimCLR] | Loss: 2.2142 | LR: 1.62e-04
Epoch 96/200 [SimCLR] | Loss: 2.1891 | LR: 1.59e-04
Epoch 97/200 [SimCLR] | Loss: 2.1987 | LR: 1.57e-04
Epoch 98/200 [SimCLR] | Loss: 2.1947 | LR: 1.55e-04
Epoch 99/200 [SimCLR] | Loss: 2.1848 | LR: 1.52e-04
Epoch 100/200 [SimCLR] | Loss: 2.1871 | LR: 1.50e-04
Epoch 101/200 [SupCon] | Loss: 9.8739 | LR: 1.48e-04
Epoch 102/200 [SupCon] | Loss: 8.2892 | LR: 1.45e-04
Epoch 103/200 [SupCon] | Loss: 8.0510 | LR: 1.43e-04
Epoch 104/200 [SupCon] | Loss: 7.9911 | LR: 1.41e-04
Epoch 105/200 [SupCon] | Loss: 7.9622 | LR: 1.38e-04
Epoch 106/200 [SupCon] | Loss: 7.9441 | LR: 1.36e-04
