GPU: NVIDIA GeForce RTX 4090
VRAM: 23.5 GB

======================================================================
Few-Shot Open Set Recognition - Episodic Training Pipeline
Backbone: yamnet
======================================================================

Loading datasets...
使用动态加载模式，不加载缓存文件 /coding/audio_classifying/unprocessed_data/TAU22_train_pro_1s.pt
索引映射构建完成，总样本数: 30000
FeatureExtractor: loaded YAMNet pretrained weights from yamnet.pth (FC layers random)

======================================================================
Phase 0a: Contrastive Pre-training (SimCLR)
  - Unsupervised: uses ALL classes (no label leakage)
  - YAMNet last layers unfrozen for acoustic scene adaptation
  - FC layers learn discriminative features via NT-Xent loss
======================================================================

======================================================================
Phase 0a: Contrastive Pre-training (SimCLR)
======================================================================
Samples:         30000
Epochs:          300
Batch size:      2048
Temperature:     0.1
Backbone unfreeze: ['layer7', 'layer8', 'layer9', 'layer10', 'layer11', 'layer12', 'layer13', 'layer14']
======================================================================

Epoch 86/300 | Loss: 2.4121 | LR: 1.95e-03
Epoch 87/300 | Loss: 2.4112 | LR: 1.94e-03
Epoch 88/300 | Loss: 2.4132 | LR: 1.93e-03
Epoch 89/300 | Loss: 2.3947 | LR: 1.92e-03
Epoch 90/300 | Loss: 2.3888 | LR: 1.91e-03
Epoch 91/300 | Loss: 2.3925 | LR: 1.90e-03
Epoch 92/300 | Loss: 2.3753 | LR: 1.88e-03
Epoch 93/300 | Loss: 2.3741 | LR: 1.87e-03
Epoch 94/300 | Loss: 2.3730 | LR: 1.86e-03
Epoch 95/300 | Loss: 2.3690 | LR: 1.85e-03
Epoch 96/300 | Loss: 2.3588 | LR: 1.84e-03
Epoch 97/300 | Loss: 2.3566 | LR: 1.83e-03
Epoch 98/300 | Loss: 2.3442 | LR: 1.82e-03
Epoch 99/300 | Loss: 2.3529 | LR: 1.81e-03
Epoch 100/300 | Loss: 2.3451 | LR: 1.80e-03
Epoch 101/300 | Loss: 2.3428 | LR: 1.79e-03
Epoch 102/300 | Loss: 2.3409 | LR: 1.78e-03
Epoch 103/300 | Loss: 2.3303 | LR: 1.77e-03
Epoch 104/300 | Loss: 2.3297 | LR: 1.76e-03
Epoch 105/300 | Loss: 2.3232 | LR: 1.74e-03
Epoch 106/300 | Loss: 2.3297 | LR: 1.73e-03
Epoch 107/300 | Loss: 2.3236 | LR: 1.72e-03
Epoch 108/300 | Loss: 2.3094 | LR: 1.71e-03
Epoch 109/300 | Loss: 2.3020 | LR: 1.70e-03
Epoch 110/300 | Loss: 2.3004 | LR: 1.69e-03
Epoch 111/300 | Loss: 2.2903 | LR: 1.68e-03
Epoch 112/300 | Loss: 2.3049 | LR: 1.67e-03
Epoch 113/300 | Loss: 2.2905 | LR: 1.65e-03
Epoch 114/300 | Loss: 2.2911 | LR: 1.64e-03
Epoch 115/300 | Loss: 2.2833 | LR: 1.63e-03
Epoch 116/300 | Loss: 2.2775 | LR: 1.62e-03
Epoch 117/300 | Loss: 2.2844 | LR: 1.61e-03
Epoch 118/300 | Loss: 2.2733 | LR: 1.59e-03
Epoch 119/300 | Loss: 2.2664 | LR: 1.58e-03
Epoch 120/300 | Loss: 2.2563 | LR: 1.57e-03
Epoch 121/300 | Loss: 2.2589 | LR: 1.56e-03
Epoch 122/300 | Loss: 2.2574 | LR: 1.55e-03
Epoch 123/300 | Loss: 2.2466 | LR: 1.53e-03
Epoch 124/300 | Loss: 2.2360 | LR: 1.52e-03
Epoch 125/300 | Loss: 2.2532 | LR: 1.51e-03
Epoch 126/300 | Loss: 2.2428 | LR: 1.50e-03
Epoch 127/300 | Loss: 2.2431 | LR: 1.49e-03
Epoch 128/300 | Loss: 2.2439 | LR: 1.47e-03
Epoch 129/300 | Loss: 2.2389 | LR: 1.46e-03
Epoch 130/300 | Loss: 2.2366 | LR: 1.45e-03
Epoch 131/300 | Loss: 2.2313 | LR: 1.44e-03
Epoch 132/300 | Loss: 2.2321 | LR: 1.42e-03
Epoch 133/300 | Loss: 2.2172 | LR: 1.41e-03
Epoch 134/300 | Loss: 2.2315 | LR: 1.40e-03
Epoch 135/300 | Loss: 2.2308 | LR: 1.39e-03
Epoch 136/300 | Loss: 2.2261 | LR: 1.38e-03
Epoch 137/300 | Loss: 2.2156 | LR: 1.36e-03
Epoch 138/300 | Loss: 2.2050 | LR: 1.35e-03
Epoch 139/300 | Loss: 2.2106 | LR: 1.34e-03
Epoch 140/300 | Loss: 2.2015 | LR: 1.33e-03
Epoch 141/300 | Loss: 2.1931 | LR: 1.31e-03
Epoch 142/300 | Loss: 2.2030 | LR: 1.30e-03
Epoch 143/300 | Loss: 2.2020 | LR: 1.29e-03
Epoch 144/300 | Loss: 2.1930 | LR: 1.28e-03
Epoch 145/300 | Loss: 2.1980 | LR: 1.26e-03
Epoch 146/300 | Loss: 2.1955 | LR: 1.25e-03
Epoch 147/300 | Loss: 2.1890 | LR: 1.24e-03
Epoch 148/300 | Loss: 2.1931 | LR: 1.23e-03
Epoch 149/300 | Loss: 2.1871 | LR: 1.21e-03
Epoch 150/300 | Loss: 2.1974 | LR: 1.20e-03
Epoch 151/300 | Loss: 2.1744 | LR: 1.19e-03
Epoch 152/300 | Loss: 2.1708 | LR: 1.17e-03
Epoch 153/300 | Loss: 2.1738 | LR: 1.16e-03
Epoch 154/300 | Loss: 2.1723 | LR: 1.15e-03
Epoch 155/300 | Loss: 2.1670 | LR: 1.14e-03
Epoch 156/300 | Loss: 2.1715 | LR: 1.12e-03
Epoch 157/300 | Loss: 2.1634 | LR: 1.11e-03
Epoch 158/300 | Loss: 2.1600 | LR: 1.10e-03
Epoch 159/300 | Loss: 2.1590 | LR: 1.09e-03
Epoch 160/300 | Loss: 2.1666 | LR: 1.07e-03
Epoch 161/300 | Loss: 2.1621 | LR: 1.06e-03
Epoch 162/300 | Loss: 2.1531 | LR: 1.05e-03
Epoch 163/300 | Loss: 2.1464 | LR: 1.04e-03
Epoch 164/300 | Loss: 2.1558 | LR: 1.02e-03
Epoch 165/300 | Loss: 2.1519 | LR: 1.01e-03
Epoch 166/300 | Loss: 2.1520 | LR: 1.00e-03
Epoch 167/300 | Loss: 2.1386 | LR: 9.88e-04
Epoch 168/300 | Loss: 2.1394 | LR: 9.75e-04
Epoch 169/300 | Loss: 2.1360 | LR: 9.63e-04
Epoch 170/300 | Loss: 2.1333 | LR: 9.51e-04
Epoch 171/300 | Loss: 2.1368 | LR: 9.38e-04
Epoch 172/300 | Loss: 2.1286 | LR: 9.26e-04
Epoch 173/300 | Loss: 2.1238 | LR: 9.14e-04
Epoch 174/300 | Loss: 2.1285 | LR: 9.02e-04
Epoch 175/300 | Loss: 2.1327 | LR: 8.89e-04
Epoch 176/300 | Loss: 2.1300 | LR: 8.77e-04
Epoch 177/300 | Loss: 2.1195 | LR: 8.65e-04
Epoch 178/300 | Loss: 2.1259 | LR: 8.53e-04
Epoch 179/300 | Loss: 2.1151 | LR: 8.41e-04
Epoch 180/300 | Loss: 2.1077 | LR: 8.29e-04
Epoch 181/300 | Loss: 2.1164 | LR: 8.17e-04
Epoch 182/300 | Loss: 2.1009 | LR: 8.05e-04
Epoch 183/300 | Loss: 2.1149 | LR: 7.94e-04
Epoch 184/300 | Loss: 2.1065 | LR: 7.82e-04
Epoch 185/300 | Loss: 2.1089 | LR: 7.70e-04
Epoch 186/300 | Loss: 2.1103 | LR: 7.58e-04
Epoch 187/300 | Loss: 2.0938 | LR: 7.47e-04
Epoch 188/300 | Loss: 2.0983 | LR: 7.35e-04
Epoch 189/300 | Loss: 2.0962 | LR: 7.23e-04
Epoch 190/300 | Loss: 2.1044 | LR: 7.12e-04
Epoch 191/300 | Loss: 2.0907 | LR: 7.01e-04
Epoch 192/300 | Loss: 2.0831 | LR: 6.89e-04
Epoch 193/300 | Loss: 2.0834 | LR: 6.78e-04
Epoch 194/300 | Loss: 2.0858 | LR: 6.67e-04
Epoch 195/300 | Loss: 2.0986 | LR: 6.55e-04
Epoch 196/300 | Loss: 2.0800 | LR: 6.44e-04
Epoch 197/300 | Loss: 2.0898 | LR: 6.33e-04
Epoch 198/300 | Loss: 2.0795 | LR: 6.22e-04
Epoch 199/300 | Loss: 2.0802 | LR: 6.11e-04
Epoch 200/300 | Loss: 2.0843 | LR: 6.00e-04
Epoch 201/300 | Loss: 2.0787 | LR: 5.89e-04
Epoch 202/300 | Loss: 2.0816 | LR: 5.78e-04
Epoch 203/300 | Loss: 2.0754 | LR: 5.68e-04
Epoch 204/300 | Loss: 2.0760 | LR: 5.57e-04
Epoch 205/300 | Loss: 2.0836 | LR: 5.47e-04
Epoch 206/300 | Loss: 2.0795 | LR: 5.36e-04
Epoch 207/300 | Loss: 2.0807 | LR: 5.26e-04
Epoch 208/300 | Loss: 2.0820 | LR: 5.15e-04
Epoch 209/300 | Loss: 2.0677 | LR: 5.05e-04
Epoch 210/300 | Loss: 2.0761 | LR: 4.95e-04
Epoch 211/300 | Loss: 2.0581 | LR: 4.85e-04
Epoch 212/300 | Loss: 2.0691 | LR: 4.75e-04
Epoch 213/300 | Loss: 2.0583 | LR: 4.65e-04
Epoch 214/300 | Loss: 2.0670 | LR: 4.55e-04
Epoch 215/300 | Loss: 2.0677 | LR: 4.45e-04
Epoch 216/300 | Loss: 2.0571 | LR: 4.35e-04
Epoch 217/300 | Loss: 2.0528 | LR: 4.26e-04
Epoch 218/300 | Loss: 2.0530 | LR: 4.16e-04
Epoch 219/300 | Loss: 2.0612 | LR: 4.07e-04
Epoch 220/300 | Loss: 2.0492 | LR: 3.97e-04
Epoch 221/300 | Loss: 2.0559 | LR: 3.88e-04
Epoch 222/300 | Loss: 2.0532 | LR: 3.79e-04
Epoch 223/300 | Loss: 2.0501 | LR: 3.70e-04
Epoch 224/300 | Loss: 2.0451 | LR: 3.60e-04
Epoch 225/300 | Loss: 2.0437 | LR: 3.52e-04
Epoch 226/300 | Loss: 2.0395 | LR: 3.43e-04
Epoch 227/300 | Loss: 2.0498 | LR: 3.34e-04
Epoch 228/300 | Loss: 2.0496 | LR: 3.25e-04
Epoch 229/300 | Loss: 2.0403 | LR: 3.17e-04
Epoch 230/300 | Loss: 2.0404 | LR: 3.08e-04
Epoch 231/300 | Loss: 2.0412 | LR: 3.00e-04
Epoch 232/300 | Loss: 2.0471 | LR: 2.92e-04
Epoch 233/300 | Loss: 2.0436 | LR: 2.84e-04
Epoch 234/300 | Loss: 2.0312 | LR: 2.75e-04
Epoch 235/300 | Loss: 2.0342 | LR: 2.68e-04
Epoch 236/300 | Loss: 2.0364 | LR: 2.60e-04
Epoch 237/300 | Loss: 2.0410 | LR: 2.52e-04
Epoch 238/300 | Loss: 2.0354 | LR: 2.44e-04
Epoch 239/300 | Loss: 2.0365 | LR: 2.37e-04
Epoch 240/300 | Loss: 2.0281 | LR: 2.29e-04
Epoch 241/300 | Loss: 2.0202 | LR: 2.22e-04
Epoch 242/300 | Loss: 2.0316 | LR: 2.15e-04
Epoch 243/300 | Loss: 2.0371 | LR: 2.08e-04
Epoch 244/300 | Loss: 2.0283 | LR: 2.01e-04
Epoch 245/300 | Loss: 2.0365 | LR: 1.94e-04
Epoch 246/300 | Loss: 2.0281 | LR: 1.87e-04
Epoch 247/300 | Loss: 2.0280 | LR: 1.80e-04
Epoch 248/300 | Loss: 2.0300 | LR: 1.74e-04
Epoch 249/300 | Loss: 2.0312 | LR: 1.67e-04
Epoch 250/300 | Loss: 2.0187 | LR: 1.61e-04
Epoch 251/300 | Loss: 2.0268 | LR: 1.55e-04
Epoch 252/300 | Loss: 2.0267 | LR: 1.49e-04
Epoch 253/300 | Loss: 2.0219 | LR: 1.43e-04
Epoch 254/300 | Loss: 2.0225 | LR: 1.37e-04
Epoch 255/300 | Loss: 2.0218 | LR: 1.31e-04
Epoch 256/300 | Loss: 2.0215 | LR: 1.25e-04
Epoch 257/300 | Loss: 2.0131 | LR: 1.20e-04
Epoch 258/300 | Loss: 2.0184 | LR: 1.14e-04
Epoch 259/300 | Loss: 2.0256 | LR: 1.09e-04
Epoch 260/300 | Loss: 2.0240 | LR: 1.04e-04
Epoch 261/300 | Loss: 2.0156 | LR: 9.88e-05
Epoch 262/300 | Loss: 2.0225 | LR: 9.39e-05
Epoch 263/300 | Loss: 2.0154 | LR: 8.91e-05
Epoch 264/300 | Loss: 2.0078 | LR: 8.44e-05
Epoch 265/300 | Loss: 2.0121 | LR: 7.98e-05
Epoch 266/300 | Loss: 2.0170 | LR: 7.54e-05
Epoch 267/300 | Loss: 2.0227 | LR: 7.10e-05
Epoch 268/300 | Loss: 2.0145 | LR: 6.68e-05
Epoch 269/300 | Loss: 2.0250 | LR: 6.28e-05
Epoch 270/300 | Loss: 2.0119 | LR: 5.88e-05
Epoch 271/300 | Loss: 2.0194 | LR: 5.50e-05
Epoch 272/300 | Loss: 2.0134 | LR: 5.13e-05
Epoch 273/300 | Loss: 2.0157 | LR: 4.77e-05
Epoch 274/300 | Loss: 2.0217 | LR: 4.43e-05
Epoch 275/300 | Loss: 2.0147 | LR: 4.10e-05
Epoch 276/300 | Loss: 2.0138 | LR: 3.78e-05
Epoch 277/300 | Loss: 2.0169 | LR: 3.47e-05
Epoch 278/300 | Loss: 2.0094 | LR: 3.18e-05
Epoch 279/300 | Loss: 2.0141 | LR: 2.90e-05
Epoch 280/300 | Loss: 2.0152 | LR: 2.63e-05
Epoch 281/300 | Loss: 2.0156 | LR: 2.38e-05
Epoch 282/300 | Loss: 2.0046 | LR: 2.14e-05
Epoch 283/300 | Loss: 2.0171 | LR: 1.91e-05
Epoch 284/300 | Loss: 2.0074 | LR: 1.69e-05
Epoch 285/300 | Loss: 2.0189 | LR: 1.49e-05
Epoch 286/300 | Loss: 2.0106 | LR: 1.30e-05
Epoch 287/300 | Loss: 2.0177 | LR: 1.12e-05
Epoch 288/300 | Loss: 2.0158 | LR: 9.56e-06
Epoch 289/300 | Loss: 2.0113 | LR: 8.05e-06
Epoch 290/300 | Loss: 2.0121 | LR: 6.67e-06
Epoch 291/300 | Loss: 2.0107 | LR: 5.43e-06
Epoch 292/300 | Loss: 2.0210 | LR: 4.31e-06
Epoch 293/300 | Loss: 2.0043 | LR: 3.32e-06
Epoch 294/300 | Loss: 2.0105 | LR: 2.47e-06
Epoch 295/300 | Loss: 2.0098 | LR: 1.74e-06
Epoch 296/300 | Loss: 2.0129 | LR: 1.15e-06
Epoch 297/300 | Loss: 2.0215 | LR: 6.92e-07
Epoch 298/300 | Loss: 2.0140 | LR: 3.63e-07
Epoch 299/300 | Loss: 2.0091 | LR: 1.66e-07
Epoch 300/300 | Loss: 2.0025 | LR: 1.00e-07

Contrastive pretrained model saved: experiment/yamnet_fewshot_osr15/contrastive_feature_extractor.pth

======================================================================
Phase 0b: Base Class Supervised Fine-tuning
  - Only base classes (no leakage)
  - YAMNet unfreeze: ['layer7', 'layer8', 'layer9', 'layer10', 'layer11', 'layer12', 'layer13', 'layer14']
======================================================================
FeatureExtractor: loaded YAMNet pretrained weights from yamnet.pth (FC layers random)
FeatureExtractor: loaded 193/193 parameters from experiment/yamnet_fewshot_osr15/contrastive_feature_extractor.pth

======================================================================
Phase 0b: Base Class Pre-training (no data leakage)
======================================================================
Base classes: [0, 1, 2, 3, 4, 5]
Training samples: 30000
UNKNOWN fine-tune layers: ['layer7', 'layer8', 'layer9', 'layer10', 'layer11', 'layer12', 'layer13', 'layer14'] (LR=1.0e-05)
FC + Classifier (LR=1.0e-04)
Epochs: 40
======================================================================

Epoch  1/40 | Loss: 1.7764 Acc: 37.90% | LR: 9.98e-06
Epoch  2/40 | Loss: 1.4719 Acc: 51.41% | LR: 9.94e-06
Epoch  3/40 | Loss: 1.3395 Acc: 56.28% | LR: 9.86e-06
Epoch  4/40 | Loss: 1.2426 Acc: 59.86% | LR: 9.76e-06
Epoch  5/40 | Loss: 1.2152 Acc: 62.75% | LR: 9.62e-06
Epoch  6/40 | Loss: 1.1590 Acc: 65.61% | LR: 9.46e-06
Epoch  7/40 | Loss: 1.1117 Acc: 68.04% | LR: 9.27e-06
Epoch  8/40 | Loss: 1.0832 Acc: 69.64% | LR: 9.05e-06
Epoch  9/40 | Loss: 1.0479 Acc: 71.70% | LR: 8.81e-06
Epoch 10/40 | Loss: 1.0203 Acc: 73.26% | LR: 8.55e-06
Epoch 11/40 | Loss: 1.0066 Acc: 74.75% | LR: 8.26e-06
Epoch 12/40 | Loss: 0.9777 Acc: 76.64% | LR: 7.96e-06
Epoch 13/40 | Loss: 0.9714 Acc: 77.51% | LR: 7.64e-06
Epoch 14/40 | Loss: 0.9251 Acc: 78.86% | LR: 7.30e-06
Epoch 15/40 | Loss: 0.9194 Acc: 79.89% | LR: 6.94e-06
Epoch 16/40 | Loss: 0.8798 Acc: 81.08% | LR: 6.58e-06
Epoch 17/40 | Loss: 0.8687 Acc: 82.07% | LR: 6.21e-06
