Config,Anti-Prot,Mahal,OSR23,Ext V2,Clust V2,Fusion V2
Full Model,63.507,84.541,93.665,93.526,93.650,97.209
w/o Flow,69.847,86.721,93.591,93.436,93.579,97.407
w/o OOD Head,66.087,86.913,93.490,93.300,93.499,★ 98.477
w/o Reciprocal,66.094,86.640,93.575,93.303,93.566,98.257
w/o Threshold,62.590,84.890,93.379,93.164,93.364,96.682
Only Distance,64.267,85.553,93.424,93.187,93.413,96.995
